Município/Posto;Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Belém do Brejo do Cruz;;2024;-;-;-;-;-;-;-;-;-;0;150;10;160
Belém do Brejo do Cruz;;2024;36.4;40.6;29.2;20;10.2;16.2;0;0;0;0;0;0;152.6
Brejo do Cruz;;2024;-;-;-;-;-;-;-;-;-;131;-;-;131
Brejo dos Santos;;2024;-;-;-;-;-;-;-;-;-;100;-;-;100
Catolé do Rocha;;2024;-;-;-;-;-;-;-;-;-;55;999.9;200;1254.9
Catolé do Rocha;;2024;-;-;-;-;0;27.6;2.4;0;0;0;0;0.2;30.2
Catolé do Rocha/Escola Técnica ;;2024;-;-;-;-;-;-;-;-;-;45;5;-;50
Jericó;;2024;-;-;-;-;-;-;-;-;-;-;-;75;75
Lagoa;;2024;-;-;-;-;-;-;-;-;-;71;-;-;71
Riacho dos Cavalos/EMEPA;;2024;-;-;-;-;-;-;-;-;-;45;-;-;45
São Bento;;2024;-;-;-;-;-;-;-;-;-;-;-;50;50
São Bento;;2024;-;-;39;36;12.6;1;0.4;0;0;0;0;0.2;89.2
Boa Ventura;;2024;-;-;-;-;-;-;-;-;-;-;199;-;199
Conceição;;2024;-;-;-;-;-;-;-;-;-;85;-;-;85
Conceição;;2024;0;0;7;58;9.6;11.2;5.8;0;0;0.4;4.2;10.2;106.4
Ibiara;;2024;-;-;-;-;-;-;-;-;-;-;85;-;85
Itaporanga/Faz Veludo;;2024;-;-;-;-;-;2.4;3.2;0;0;0;0;2;7.6
Itaporanga/Fazenda Veludo;;2024;-;-;-;-;-;-;-;-;-;-;-;0.5;0.5
Itaporanga;;2024;-;-;-;-;-;-;-;-;-;-;-;1;1
Itaporanga/Malhada Grande;;2024;41.8;49.4;28.4;51.6;8;5.2;1.6;0;0;0;0.2;28.2;214.4
Pedra Branca;;2024;-;-;-;-;-;-;-;-;-;-;-;0.1;0.1
Santa Inês;;2024;25.6;44;40;51;4.4;3;4.2;0;0;2;0;0;174.2
Santana de Mangueira;;2024;29.8;49.2;14.2;31.4;25.4;7.4;1.2;0;0;1.6;1.2;2.2;163.6
Areia de Baraúnas;;2024;-;-;-;-;-;-;-;-;-;11;110;45;166
Cacimba de Areia;;2024;-;-;-;-;-;-;-;-;-;44.4;-;-;44.4
Patos/Belo Horizonte;;2024;19;15.4;20.4;25.4;7.4;1.2;5.8;0;0;0;0;6.2;100.8
Patos/CONAB;;2024;22.2;16;48.2;19.6;19.8;2.6;6;0;0;0.4;0;12.6;147.4
Santa Teresinha;;2024;-;-;-;12.4;-;-;-;-;-;-;-;5;17.4
Santa Teresinha/Santa Terezinha;;2024;-;-;79.6;32.8;0;2.8;3.2;0;0;0;-;-;118.4
São José de Espinharas/São josé de Espinharas;;2024;39.8;15.4;56.4;12;29.8;3.8;2.8;0;0;0;0;16.4;176.4
Aguiar;;2024;18.6;31.4;58;50;16.4;5.2;6.8;0;0;2;0;17.4;205.8
Aguiar;;2024;3;1043;1073.8;99.8;134;999.9;51;-;1116.2;102.5;290.5;544.4;5458.1
Catingueira;;2024;-;-;-;-;-;-;-;-;-;35;-;-;35
Emas;;2024;-;-;-;-;-;-;-;-;-;-;-;110;110
Emas;;2024;-;-;76.8;63.6;27.6;6.8;12;0;0;0;0;0;186.8
Olho D`Água;;2024;-;-;-;-;-;-;-;-;-;-;-;61;61
Piancó;;2024;10.4;28.8;30.2;25;4.8;7.4;1.6;0;0;0.4;0;17.8;126.4
Santana dos Garrotes;;2024;20;49;48.6;49.8;11.4;3.2;1;0;0.4;0.4;3.2;6.6;193.6
Água Branca;;2024;0;-;-;-;-;-;-;-;-;-;-;-;0
Água Branca;;2024;-;-;10.8;15.6;6.8;15.2;9.8;1;0;1.6;4.2;0.8;65.8
Água Branca/testenew;;2024;-;-;-;-;16;-;-;-;-;-;-;-;16
Cacimbas;;2024;-;-;-;-;-;-;-;-;-;66.6;160;-;226.6
Princesa Isabel;;2024;-;-;-;-;-;-;-;-;-;-;5;-;5
Princesa Isabel;;2024;2;38.6;28.6;38.4;5.6;10.8;2;0.6;0;7.6;2.2;11.2;147.6
Teixeira;;2024;-;-;-;-;-;-;-;-;-;4;-;-;4
Teixeira;;2024;-;-;-;-;-;4;5.6;1.2;0;2;5.8;0.2;18.8
Aparecida;;2024;-;-;1.2;-;-;-;-;-;-;88.6;15.1;29;133.9
Cajazeirinhas;;2024;-;-;-;-;-;-;-;-;-;9;-;-;9
Condado;;2024;-;-;-;-;-;-;-;-;-;95;70;-;165
Condado;;2024;31.6;40.8;59.6;39.6;12.6;2.6;1.8;0;0;0;0;9.6;198.2
Lastro;;2024;-;-;-;-;-;-;-;-;-;31;-;-;31
Malta;;2024;-;-;-;-;-;-;-;-;-;-;201;-;201
Nazarezinho;;2024;-;-;-;-;-;-;-;-;-;8;-;-;8
Paulista;;2024;20.8;17;82.8;24.8;0;0.6;0;0;0;0;0;3.6;149.6
Pombal;;2024;-;-;-;-;3.2;4;1.6;0;0;0;0;2.4;11.2
Pombal;;2024;8.6;29;55.8;25.2;31;2.6;5;0;0;0;0;4.2;161.4
Santa Cruz;;2024;-;-;-;-;-;-;-;-;-;999.9;-;-;999.9
Santa Cruz;;2024;25.2;14.8;40.4;13.2;15.8;1;0;0;0;0;0;2.2;112.6
São Bentinho;;2024;-;-;-;-;-;-;-;-;-;-;-;25;25
São Domingos;;2024;-;-;-;-;-;-;-;-;-;999.9;-;75;1074.9
São Francisco;;2024;-;-;-;-;-;-;-;-;-;17;-;150;167
Sousa/São Gonçalo;;2024;-;-;-;-;-;-;-;-;-;-;-;53;53
Sousa/São Gonçalo;;2024;19.4;35.2;25.4;30.2;6;4.4;1.2;0;0;0;0;12.4;134.2
Sousa;;2024;15.4;69.2;21.2;16.8;7.6;5.4;2.8;0;0;9.2;0;5.8;153.4
Sousa;;2024;-;-;-;-;-;-;-;-;-;-;-;52;52
Vieirópolis;;2024;-;-;-;-;-;-;-;-;-;5;-;-;5
Vista Serrana/Desterro de Malta;;2024;-;-;-;-;-;-;-;-;-;70;-;55;125
